school_year,region_name,region_number,total_count,ft_count,pt_count
2021-2022,Central Virginia,1,184241,184170,71
2021-2022,Northern Neck,3,84501,84453,48
2021-2022,Northern Virginia,4,467157,466259,898
2021-2022,Southside,8,26653,26643,10
2021-2022,Southwest,7,60551,60538,13
2021-2022,Tidewater,2,248912,248320,592
2021-2022,Valley,5,98976,98864,112
2021-2022,Western Virginia,6,80979,80951,28
2022-2023,Central Virginia,1,187160,187103,57
2022-2023,Northern Neck,3,85941,85848,93
2022-2023,Northern Virginia,4,471322,470596,726
2022-2023,Southside,8,26279,26272,7
2022-2023,Southwest,7,62111,62100,11
2022-2023,Tidewater,2,249900,249293,607
2022-2023,Valley,5,98890,98800,90
2022-2023,Western Virginia,6,81764,81685,79
2023-2024,Central Virginia,1,187054,186999,55
2023-2024,Northern Neck,3,86238,86067,171
2023-2024,Northern Virginia,4,472242,471496,746
2023-2024,Southside,8,26036,26031,5
2023-2024,Southwest,7,61819,61805,14
2023-2024,Tidewater,2,248230,247540,690
2023-2024,Valley,5,98739,98609,130
2023-2024,Western Virginia,6,81653,81580,73
2024-2025,Central Virginia,1,187799,187734,65
2024-2025,Northern Neck,3,86293,86078,215
2024-2025,Northern Virginia,4,472151,470482,1669
2024-2025,Southside,8,25880,25879,1
2024-2025,Southwest,7,62248,62206,42
2024-2025,Tidewater,2,247151,246641,510
2024-2025,Valley,5,98884,98800,84
2024-2025,Western Virginia,6,80981,80972,9
