school_year,division_number,division_name,school_number,school_name,ft_count,pt_count,total_count
2021-2022,1,Accomack County,701,Accawmacke Elementary,408,NA,408
2021-2022,1,Accomack County,540,Arcadia High,687,NA,687
2021-2022,1,Accomack County,704,Arcadia Middle,547,NA,547
2021-2022,1,Accomack County,80,Chincoteague Elementary,226,NA,226
2021-2022,1,Accomack County,580,Chincoteague High,266,NA,266
2021-2022,1,Accomack County,600,Kegotank Elementary,475,NA,475
2021-2022,1,Accomack County,702,Metompkin Elementary,558,NA,558
2021-2022,1,Accomack County,70,Nandua High,651,1,652
2021-2022,1,Accomack County,703,Nandua Middle,455,NA,455
2021-2022,1,Accomack County,590,Pungoteague Elementary,436,NA,436
2021-2022,1,Accomack County,530,Tangier Combined,42,NA,42
2021-2022,2,Albemarle County,160,Agnor-Hurt Elementary,456,NA,456
2021-2022,2,Albemarle County,880,Albemarle High,1911,6,1917
2021-2022,2,Albemarle County,1053,Baker-Butler Elem,682,NA,682
2021-2022,2,Albemarle County,100,Broadus Wood Elementary,259,NA,259
2021-2022,2,Albemarle County,941,Brownsville Elementary,756,NA,756
2021-2022,2,Albemarle County,890,Community Lab School,194,NA,194
2021-2022,2,Albemarle County,340,Crozet Elementary,325,NA,325
2021-2022,2,Albemarle County,10,Hollymead Elementary,342,NA,342
2021-2022,2,Albemarle County,950,Jack Jouett Middle,694,NA,694
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,598,2,600
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,839,3,842
2021-2022,2,Albemarle County,1051,Lakeside Middle,545,3,548
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,329,2,331
2021-2022,2,Albemarle County,40,Mary Carr Greer Elementary,481,NA,481
2021-2022,2,Albemarle County,250,Meriwether Lewis Elementary,321,NA,321
2021-2022,2,Albemarle County,1052,Monticello High,1213,7,1220
2021-2022,2,Albemarle County,150,Mountain View Elementary,731,NA,731
2021-2022,2,Albemarle County,540,Red Hill Elementary,189,NA,189
2021-2022,2,Albemarle County,30,Scottsville Elementary,216,NA,216
2021-2022,2,Albemarle County,920,Stone Robinson Elementary,470,NA,470
2021-2022,2,Albemarle County,240,Stony Point Elementary,188,NA,188
2021-2022,2,Albemarle County,910,Virginia L. Murray Elementary,268,NA,268
2021-2022,2,Albemarle County,140,Western Albemarle High,1152,5,1157
2021-2022,2,Albemarle County,930,Woodbrook Elementary,562,NA,562
2021-2022,101,Alexandria City,210,Alexandria City High,4402,NA,4402
2021-2022,101,Alexandria City,120,Charles Barrett Elementary,547,3,550
2021-2022,101,Alexandria City,160,Cora Kelly School for Math Science and Technology,278,NA,278
2021-2022,101,Alexandria City,110,Douglas Macarthur Elementary,562,5,567
2021-2022,101,Alexandria City,360,Early Childhood Center,179,NA,179
2021-2022,101,Alexandria City,350,Ferdinand T. Day Elementary,571,2,573
2021-2022,101,Alexandria City,140,Francis C. Hammond Middle,1423,1,1424
2021-2022,101,Alexandria City,100,George Mason Elementary,345,2,347
2021-2022,101,Alexandria City,130,George Washington Middle,1443,4,1447
2021-2022,101,Alexandria City,220,James K. Polk Elementary,755,2,757
2021-2022,101,Alexandria City,90,Jefferson-Houston PK-8 School,641,3,644
2021-2022,101,Alexandria City,230,John Adams Elementary,691,NA,691
2021-2022,101,Alexandria City,80,Lyles-Crouch Elementary,393,7,400
2021-2022,101,Alexandria City,30,Mount Vernon Elementary,885,3,888
2021-2022,101,Alexandria City,60,Naomi L. Brooks Elementary,338,2,340
2021-2022,101,Alexandria City,50,Patrick Henry K-8 School,896,NA,896
2021-2022,101,Alexandria City,333,Samuel W. Tucker Elementary,729,2,731
2021-2022,101,Alexandria City,190,William Ramsay Elementary,598,NA,598
2021-2022,3,Alleghany County,310,Alleghany High,582,NA,582
2021-2022,3,Alleghany County,110,Callaghan Elementary,257,NA,257
2021-2022,3,Alleghany County,1040,Clifton Middle,411,NA,411
2021-2022,3,Alleghany County,1041,Mountain View Elementary,470,NA,470
2021-2022,3,Alleghany County,90,Sharon Elementary,191,NA,191
2021-2022,4,Amelia County,220,Amelia County Elementary,741,NA,741
2021-2022,4,Amelia County,10,Amelia County High,493,NA,493
2021-2022,4,Amelia County,210,Amelia County Middle,401,NA,401
2021-2022,5,Amherst County,780,Amelon Elementary,434,NA,434
2021-2022,5,Amherst County,750,Amherst County High,1217,NA,1217
2021-2022,5,Amherst County,790,Amherst Elementary,233,NA,233
2021-2022,5,Amherst County,670,Amherst Middle,378,NA,378
2021-2022,5,Amherst County,770,Central Elementary,332,NA,332
2021-2022,5,Amherst County,760,Elon Elementary,340,NA,340
2021-2022,5,Amherst County,500,Madison Heights Elementary,381,NA,381
2021-2022,5,Amherst County,20,Monelison Middle,560,NA,560
2021-2022,5,Amherst County,740,Temperance Elementary,95,NA,95
2021-2022,6,Appomattox County,260,Appomattox County High,696,NA,696
2021-2022,6,Appomattox County,110,Appomattox Elementary,501,NA,501
2021-2022,6,Appomattox County,160,Appomattox Middle,543,NA,543
2021-2022,6,Appomattox County,250,Appomattox Primary,598,NA,598
2021-2022,7,Arlington County,350,Abingdon Elementary,706,NA,706
2021-2022,7,Arlington County,160,Alice West Fleet Elementary,584,NA,584
2021-2022,7,Arlington County,618,Arlington Community High,177,NA,177
2021-2022,7,Arlington County,629,Arlington Science Focus School,456,NA,456
2021-2022,7,Arlington County,470,Arlington Traditional,668,NA,668
2021-2022,7,Arlington County,490,Ashlawn Elementary,540,NA,540
2021-2022,7,Arlington County,150,Barcroft Elementary,440,NA,440
2021-2022,7,Arlington County,250,Barrett Elementary,528,NA,528
2021-2022,7,Arlington County,615,Campbell Elementary,426,NA,426
2021-2022,7,Arlington County,380,Cardinal Elementary,658,NA,658
2021-2022,7,Arlington County,90,Carlin Springs Elementary,544,NA,544
2021-2022,7,Arlington County,622,Claremont Immersion,678,NA,678
2021-2022,7,Arlington County,626,Discovery Elementary,513,NA,513
2021-2022,7,Arlington County,628,Dorothy Hamm Middle,925,NA,925
2021-2022,7,Arlington County,200,Dr. Charles R. Drew Elementary,453,NA,453
2021-2022,7,Arlington County,111,Escuela Key Elementary,625,NA,625
2021-2022,7,Arlington County,100,Glebe Elementary,539,NA,539
2021-2022,7,Arlington County,611,Gunston Middle,1185,NA,1185
2021-2022,7,Arlington County,614,Hoffman-Boston Elementary,566,NA,566
2021-2022,7,Arlington County,613,Innovation Elementary,404,NA,404
2021-2022,7,Arlington County,37,Integration Station,31,NA,31
2021-2022,7,Arlington County,440,Jamestown Elementary,498,NA,498
2021-2022,7,Arlington County,180,Jefferson Middle,925,NA,925
2021-2022,7,Arlington County,500,Kenmore Middle,1028,NA,1028
2021-2022,7,Arlington County,460,Long Branch Elementary,404,NA,404
2021-2022,7,Arlington County,627,Montessori Public School of Arlington,497,NA,497
2021-2022,7,Arlington County,410,Nottingham Elementary,406,NA,406
2021-2022,7,Arlington County,360,Oakridge Elementary,620,NA,620
2021-2022,7,Arlington County,510,Randolph Elementary,424,NA,424
2021-2022,7,Arlington County,240,Swanson Middle,962,NA,962
2021-2022,7,Arlington County,420,Taylor Elementary,513,NA,513
