school_year,division_number,ft_count,pt_count,total_count,locality_grouping,region_name,region_number,division_name,n_disadv_students,school_number,sch_id,school_name
2021-2022,001,4751,1,4752,division,Tidewater,2,Accomack County,2033,NA,NA,NA
2021-2022,002,13721,28,13749,division,Valley,5,Albemarle County,3783,NA,NA,NA
2021-2022,101,15676,36,15712,division,Northern Virginia,4,Alexandria City,9185,NA,NA,NA
2021-2022,003,1911,NA,1911,division,Western Virginia,6,Alleghany County,821,NA,NA,NA
2021-2022,004,1635,NA,1635,division,Southside,8,Amelia County,791,NA,NA,NA
2021-2022,005,3970,NA,3970,division,Valley,5,Amherst County,2197,NA,NA,NA
2021-2022,006,2338,NA,2338,division,Southside,8,Appomattox County,1086,NA,NA,NA
2021-2022,007,27042,3,27045,division,Northern Virginia,4,Arlington County,8739,NA,NA,NA
2021-2022,008,9929,2,9931,division,Valley,5,Augusta County,4276,NA,NA,NA
2021-2022,009,502,NA,502,division,Valley,5,Bath County,299,NA,NA,NA
2021-2022,010,9008,1,9009,division,Valley,5,Bedford County,3639,NA,NA,NA
2021-2022,011,719,NA,719,division,Southwest,7,Bland County,313,NA,NA,NA
2021-2022,012,4472,NA,4472,division,Western Virginia,6,Botetourt County,1170,NA,NA,NA
2021-2022,102,2200,NA,2200,division,Southwest,7,Bristol City,1475,NA,NA,NA
2021-2022,013,1419,NA,1419,division,Southside,8,Brunswick County,964,NA,NA,NA
2021-2022,014,2427,NA,2427,division,Southwest,7,Buchanan County,1430,NA,NA,NA
2021-2022,015,1933,NA,1933,division,Southside,8,Buckingham County,1061,NA,NA,NA
2021-2022,103,887,NA,887,division,Valley,5,Buena Vista City,401,NA,NA,NA
2021-2022,016,7854,NA,7854,division,Valley,5,Campbell County,3757,NA,NA,NA
2021-2022,017,4238,NA,4238,division,Northern Neck,3,Caroline County,1904,NA,NA,NA
2021-2022,018,3517,2,3519,division,Southwest,7,Carroll County,2244,NA,NA,NA
2021-2022,019,528,NA,528,division,Central Virginia,1,Charles City County,307,NA,NA,NA
2021-2022,020,1702,NA,1702,division,Southside,8,Charlotte County,899,NA,NA,NA
2021-2022,104,4288,2,4290,division,Valley,5,Charlottesville City,2005,NA,NA,NA
2021-2022,136,40478,NA,40478,division,Tidewater,2,Chesapeake City,16008,NA,NA,NA
2021-2022,021,62445,55,62500,division,Central Virginia,1,Chesterfield County,21260,NA,NA,NA
2021-2022,022,1833,2,1835,division,Northern Virginia,4,Clarke County,545,NA,NA,NA
2021-2022,202,625,NA,625,division,Northern Neck,3,Colonial Beach,373,NA,NA,NA
2021-2022,106,2786,NA,2786,division,Central Virginia,1,Colonial Heights City,1528,NA,NA,NA
2021-2022,107,963,3,966,division,Western Virginia,6,Covington City,263,NA,NA,NA
2021-2022,023,513,NA,513,division,Western Virginia,6,Craig County,264,NA,NA,NA
2021-2022,024,8366,NA,8366,division,Northern Virginia,4,Culpeper County,4096,NA,NA,NA
2021-2022,025,1208,NA,1208,division,Southside,8,Cumberland County,697,NA,NA,NA
2021-2022,108,5736,NA,5736,division,Western Virginia,6,Danville City,629,NA,NA,NA
2021-2022,026,1965,NA,1965,division,Southwest,7,Dickenson County,890,NA,NA,NA
2021-2022,027,4189,NA,4189,division,Central Virginia,1,Dinwiddie County,3233,NA,NA,NA
2021-2022,028,1393,NA,1393,division,Northern Neck,3,Essex County,714,NA,NA,NA
2021-2022,029,178605,30,178635,division,Northern Virginia,4,Fairfax County,56708,NA,NA,NA
2021-2022,109,2493,NA,2493,division,Northern Virginia,4,Falls Church City,199,NA,NA,NA
2021-2022,030,10873,1,10874,division,Northern Virginia,4,Fauquier County,2784,NA,NA,NA
2021-2022,031,1776,NA,1776,division,Western Virginia,6,Floyd County,771,NA,NA,NA
2021-2022,032,3316,NA,3316,division,Valley,5,Fluvanna County,1366,NA,NA,NA
2021-2022,135,992,NA,992,division,Tidewater,2,Franklin City,761,NA,NA,NA
2021-2022,033,6319,1,6320,division,Western Virginia,6,Franklin County,2918,NA,NA,NA
2021-2022,034,13875,1,13876,division,Northern Virginia,4,Frederick County,5732,NA,NA,NA
2021-2022,110,3624,NA,3624,division,Northern Neck,3,Fredericksburg City,1638,NA,NA,NA
2021-2022,111,1354,1,1355,division,Southwest,7,Galax City,800,NA,NA,NA
2021-2022,035,3528,3,3531,division,Southwest,7,Giles County,1130,NA,NA,NA
2021-2022,036,5036,17,5053,division,Northern Neck,3,Gloucester County,2213,NA,NA,NA
2021-2022,037,2596,NA,2596,division,Central Virginia,1,Goochland County,705,NA,NA,NA
2021-2022,038,1530,NA,1530,division,Southwest,7,Grayson County,895,NA,NA,NA
2021-2022,039,2897,NA,2897,division,Valley,5,Greene County,1385,NA,NA,NA
2021-2022,040,2037,NA,2037,division,Southside,8,Greensville County,1293,NA,NA,NA
2021-2022,041,4588,5,4593,division,Southside,8,Halifax County,2579,NA,NA,NA
2021-2022,112,19619,NA,19619,division,Tidewater,2,Hampton City,9444,NA,NA,NA
2021-2022,042,16865,NA,16865,division,Central Virginia,1,Hanover County,4127,NA,NA,NA
2021-2022,113,6659,1,6660,division,Valley,5,Harrisonburg City,3999,NA,NA,NA
2021-2022,043,49991,NA,49991,division,Central Virginia,1,Henrico County,23126,NA,NA,NA
2021-2022,044,7025,NA,7025,division,Western Virginia,6,Henry County,4451,NA,NA,NA
2021-2022,045,178,NA,178,division,Valley,5,Highland County,81,NA,NA,NA
2021-2022,114,4075,2,4077,division,Central Virginia,1,Hopewell City,2887,NA,NA,NA
2021-2022,046,5619,NA,5619,division,Tidewater,2,Isle of Wight County,1863,NA,NA,NA
2021-2022,048,4467,1,4468,division,Northern Neck,3,King George County,1130,NA,NA,NA
2021-2022,050,1983,1,1984,division,Northern Neck,3,King William County,777,NA,NA,NA
2021-2022,049,867,NA,867,division,Northern Neck,3,King and Queen County,362,NA,NA,NA
2021-2022,051,1002,NA,1002,division,Northern Neck,3,Lancaster County,631,NA,NA,NA
2021-2022,052,2937,NA,2937,division,Southwest,7,Lee County,1906,NA,NA,NA
2021-2022,137,476,NA,476,division,Valley,5,Lexington City,145,NA,NA,NA
2021-2022,053,81186,325,81511,division,Northern Virginia,4,Loudoun County,18261,NA,NA,NA
2021-2022,054,5168,NA,5168,division,Valley,5,Louisa County,2608,NA,NA,NA
2021-2022,055,1607,NA,1607,division,Southside,8,Lunenburg County,896,NA,NA,NA
2021-2022,115,7830,49,7879,division,Valley,5,Lynchburg City,4878,NA,NA,NA
2021-2022,056,1619,45,1664,division,Northern Virginia,4,Madison County,773,NA,NA,NA
2021-2022,143,7159,433,7592,division,Northern Virginia,4,Manassas City,3119,NA,NA,NA
2021-2022,144,3508,NA,3508,division,Northern Virginia,4,Manassas Park City,1905,NA,NA,NA
2021-2022,116,1817,NA,1817,division,Western Virginia,6,Martinsville City,1365,NA,NA,NA
2021-2022,057,903,NA,903,division,Northern Neck,3,Mathews County,441,NA,NA,NA
2021-2022,058,4438,2,4440,division,Southside,8,Mecklenburg County,1127,NA,NA,NA
2021-2022,059,1202,NA,1202,division,Northern Neck,3,Middlesex County,706,NA,NA,NA
2021-2022,060,9698,6,9704,division,Western Virginia,6,Montgomery County,3508,NA,NA,NA
2021-2022,062,1538,NA,1538,division,Valley,5,Nelson County,926,NA,NA,NA
2021-2022,063,3273,NA,3273,division,Central Virginia,1,New Kent County,822,NA,NA,NA
2021-2022,117,26672,5,26677,division,Tidewater,2,Newport News City,15352,NA,NA,NA
2021-2022,118,27478,NA,27478,division,Tidewater,2,Norfolk City,16673,NA,NA,NA
2021-2022,065,1350,NA,1350,division,Tidewater,2,Northampton County,1120,NA,NA,NA
2021-2022,066,1181,NA,1181,division,Northern Neck,3,Northumberland County,642,NA,NA,NA
2021-2022,119,828,NA,828,division,Southwest,7,Norton City,389,NA,NA,NA
2021-2022,067,1824,NA,1824,division,Southside,8,Nottoway County,1146,NA,NA,NA
2021-2022,068,5027,1,5028,division,Northern Virginia,4,Orange County,2220,NA,NA,NA
2021-2022,069,3136,NA,3136,division,Northern Virginia,4,Page County,1531,NA,NA,NA
2021-2022,070,2538,NA,2538,division,Western Virginia,6,Patrick County,1183,NA,NA,NA
2021-2022,120,4179,NA,4179,division,Central Virginia,1,Petersburg City,3161,NA,NA,NA
2021-2022,071,7915,NA,7915,division,Western Virginia,6,Pittsylvania County,4098,NA,NA,NA
2021-2022,142,2056,32,2088,division,Tidewater,2,Poquoson City,435,NA,NA,NA
2021-2022,121,13517,NA,13517,division,Tidewater,2,Portsmouth City,6842,NA,NA,NA
2021-2022,072,4295,10,4305,division,Central Virginia,1,Powhatan County,884,NA,NA,NA
2021-2022,073,1914,3,1917,division,Southside,8,Prince Edward County,1070,NA,NA,NA
