school_name,sch_id
Accawmacke Elementary,0010701
Arcadia High,0010540
Arcadia Middle,0010704
Badger Vocational Education Center - North,0010541
Badger Vocational Education Center - South,0010071
Chincoteague Elementary,0010080
Chincoteague High,0010580
Community PK School,0019990
Home Educational Services,0019991
Homebased,0019999
Homebound,0019998
Kegotank Elementary,0010600
Local or Regional Jail,0019997
Metompkin Elementary,0010702
Nandua High,0010070
Nandua Middle,0010703
Pungoteague Elementary,0010590
Special Situation Schools,0018888
Suspension Services,0019992
Tangier Combined,0010530
Agnor Elementary,0020160
Albemarle High,0020880
Baker-Butler Elementary,0021053
Broadus Wood Elementary,0020100
Brownsville Elementary,0020941
Community Lab School,0020890
Community PK School,0029990
Crozet Elementary,0020340
Hollymead Elementary,0020010
Home Educational Services,0029991
Homebased,0029999
Homebound,0029998
Ivy Elementary,0020250
Jackson P. Burley Middle,0020069
Joseph T. Henley Middle,0020942
Journey Middle,0020950
Lakeside Middle,0021051
Leslie H. Walton Middle,0020020
Local or Regional Jail,0029997
Mary Carr Greer Elementary,0020040
Monticello Governor's Health Sciences Academy,0020350
Monticello High,0021052
Mountain View Elementary,0020150
Red Hill Elementary,0020540
Scottsville Elementary,0020030
Special Situation Schools,0028888
Stone Robinson Elementary,0020920
Stony Point Elementary,0020240
Suspension Services,0029992
Virginia L. Murray Elementary,0020910
Western Albemarle High,0020140
Woodbrook Elementary,0020930
Alexandria City High,1010210
Charles Barrett Elementary,1010120
Community PK School,1019990
Cora Kelly School for Math Science and Technology,1010160
Douglas MacArthur Elementary,1010110
Early Childhood Center,1010360
Ferdinand T. Day Elementary,1010350
Francis C. Hammond Middle,1010140
George Mason Elementary,1010100
George Washington Middle,1010130
Governor's Health Science Academy at The Academies of ACHS,1010370
Home Educational Services,1019991
Homebased,1019999
Homebound,1019998
James K. Polk Elementary,1010220
Jefferson-Houston PK-8 School,1010090
John Adams Elementary,1010230
Local or Regional Jail,1019997
Lyles-Crouch Elementary,1010080
Mount Vernon Elementary,1010030
Naomi L. Brooks Elementary,1010060
Patrick Henry K-8 School,1010050
Samuel W. Tucker Elementary,1010333
Special Situation Schools,1018888
Suspension Services,1019992
William Ramsay Elementary,1010190
Alleghany High,0030310
Callaghan Elementary,0030110
Community PK School,0039990
Covington Middle,0031040
Home Educational Services,0039991
Homebased,0039999
Homebound,0039998
Jackson River Tech Ctr,0030330
Jeter-Watson Elementary,0030360
Mountain View Elementary,0031041
Sharon Elementary,0030090
Special Situation Schools,0038888
Suspension Services,0039992
Amelia County Elementary,0040220
Amelia County High,0040010
Amelia County Middle,0040210
Community PK School,0049990
Home Educational Services,0049991
Homebased,0049999
Homebound,0049998
Special Situation Schools,0048888
Suspension Services,0049992
Amelon Elementary,0050780
Amherst County High,0050750
Amherst Educational Center,0050030
Amherst Elementary,0050790
Amherst Middle,0050670
Central Elementary,0050770
Community PK School,0059990
Elon Elementary,0050760
Home Educational Services,0059991
Homebased,0059999
Homebound,0059998
Local or Regional Jail,0059997
Madison Heights Elementary,0050500
