behavior_code,description,victim_count_required,reports_to_law_enforcement,divison_level_of_response,behavior_group
BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",NA,NA,NA,BAP: Behaviors that Impede the Academic Progress (BAP) of the student or of other students
BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",NA,NA,NA,BAP: Behaviors that Impede the Academic Progress (BAP) of the student or of other students
BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",NA,NA,NA,BAP: Behaviors that Impede the Academic Progress (BAP) of the student or of other students
BAP4,Unexcused tardiness to class,NA,NA,NA,BAP: Behaviors that Impede the Academic Progress (BAP) of the student or of other students
BAP5,Unexcused tardiness to school,NA,NA,NA,BAP: Behaviors that Impede the Academic Progress (BAP) of the student or of other students
BSO1,Altering an official document or record,NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO2,"Giving false information, misrepresentation",NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO3,Refusal to comply with requests of staff in a way that interferes with the operation of school,NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO5,"Failure to attend assigned disciplinary setting (detention, in-school suspension, Saturday school)",NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO6,Bringing unauthorized persons to school or allowing unauthorized persons to enter the school building,NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO7,Dress Code Violation,NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO8,Gambling (games of chance for money or profit),NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO9,"Possessing items that are inappropriate for school (examples include toys, literature, electronics)",NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO10,Possession of stolen items,Yes,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BS011,Unauthorized use of school electronic or other equipment,NA,NA,NA,NA
BSO12,Violation of the Acceptable Use of Technology/internet policy,NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO13,Violation of school board policy regarding the possession or use of portable communication devices,NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO14,"Vandalism, graffiti or other damage to school or personal property",NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO15,Student is not going to class as assigned,NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
BSO16,Student is in an unauthorized area of the campus (NOT related to school or class attendance/nonattendance).,NA,NA,NA,BSO: Behaviors related to School Operations (BSO) interfere with the daily operation of school procedures
RB1,Bullying with no physical injury (See Model Policy to Addressing Bullying in Virginia’s  Public Schools),Yes,NA,NA,RB: Relationship Behaviors (RB) create a negative relationship between two or more members of the school community (No physical harm is done.)
RB2,Cyberbullying (See Model Policy to Addressing Bullying in Virginia’s  Public Schools),Yes,NA,NA,RB: Relationship Behaviors (RB) create a negative relationship between two or more members of the school community (No physical harm is done.)
RB3,"Posting, distributing, displaying, or sharing inappropriate material or literature, including using electronics means ",NA,NA,NA,RB: Relationship Behaviors (RB) create a negative relationship between two or more members of the school community (No physical harm is done.)
RB4,"Saying or writing either directly or through electronic communication sexually suggestive comments, innuendos, propositions, or other remarks of a sexual nature",NA,NA,NA,RB: Relationship Behaviors (RB) create a negative relationship between two or more members of the school community (No physical harm is done.)
RB5,Stealing money or property without physical force,Yes,NA,NA,RB: Relationship Behaviors (RB) create a negative relationship between two or more members of the school community (No physical harm is done.)
RB6,"Speaking to another in an uncivil, discourteous manner",NA,NA,NA,RB: Relationship Behaviors (RB) create a negative relationship between two or more members of the school community (No physical harm is done.)
RB7,"Teasing, taunting, engaging in a verbal confrontation, verbally inciting a fight",NA,NA,NA,RB: Relationship Behaviors (RB) create a negative relationship between two or more members of the school community (No physical harm is done.)
RB8,"Using profane or vulgar language or gestures (swearing, cursing, hate speech, gang signs or gestures)",NA,NA,NA,RB: Relationship Behaviors (RB) create a negative relationship between two or more members of the school community (No physical harm is done.)
RB9,"Using slurs based upon the actual or perceived race, ethnicity, color, national origin, citizenship/immigration status, weight, gender, gender identity, gender expression, sexual orientation, or disability",Yes,NA,NA,RB: Relationship Behaviors (RB) create a negative relationship between two or more members of the school community (No physical harm is done.)
RB10,Failure to respond to questions or requests by staff,NA,NA,NA,RB: Relationship Behaviors (RB) create a negative relationship between two or more members of the school community (No physical harm is done.)
RB11,Unwanted or inappropriate physical contact,NA,NA,NA,RB: Relationship Behaviors (RB) create a negative relationship between two or more members of the school community (No physical harm is done.)
BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",NA,NA,NA,"BSC: Behaviors of a Safety Concern (BSC) create unsafe conditions for students, staff, and/or visitors to the school."
