school_year,division_number,division_name,behavior_category_code,behavior_category,behavior_code,behavior,number_of_events,region_name,region_number,GEOID
2023-2024,1,Accomack County,BAP,Behaviors that Impede Academic Progress,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",12,Tidewater,2,51001
2023-2024,1,Accomack County,BAP,Behaviors that Impede Academic Progress,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",8,Tidewater,2,51001
2023-2024,1,Accomack County,BAP,Behaviors that Impede Academic Progress,BAP4,Unexcused tardiness to class,32,Tidewater,2,51001
2023-2024,1,Accomack County,BAP,Behaviors that Impede Academic Progress,BAP5,Unexcused tardiness to school,15,Tidewater,2,51001
2023-2024,1,Accomack County,BAP,Behaviors that Impede Academic Progress,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",701,Tidewater,2,51001
2023-2024,1,Accomack County,BSO,Behaviors related to School Operations,BSO7,Dress Code Violation,7,Tidewater,2,51001
2023-2024,1,Accomack County,BSO,Behaviors related to School Operations,BSO3,Refusal to comply with requests of staff in a way that interferes with the operation of school,111,Tidewater,2,51001
2023-2024,1,Accomack County,BSO,Behaviors related to School Operations,BSO2,"Giving false information, misrepresentation",4,Tidewater,2,51001
2023-2024,1,Accomack County,BSO,Behaviors related to School Operations,BSO16,Student is in an unauthorized area of the campus (NOT related to school or class attendance/nonattendance).,53,Tidewater,2,51001
2023-2024,1,Accomack County,BSO,Behaviors related to School Operations,BSO9,"Possessing items that are inappropriate for school (examples include toys, literature, electronics)",3,Tidewater,2,51001
2023-2024,1,Accomack County,BSO,Behaviors related to School Operations,BSO10,Possession of stolen items,4,Tidewater,2,51001
2023-2024,1,Accomack County,BSO,Behaviors related to School Operations,BSO11,Unauthorized use of school electronic or other equipment,2,Tidewater,2,51001
2023-2024,1,Accomack County,BSO,Behaviors related to School Operations,BSO12,Violation of the Acceptable Use of Technology/internet policy,26,Tidewater,2,51001
2023-2024,1,Accomack County,BSO,Behaviors related to School Operations,BSO14,"Vandalism, graffiti or other damage to school or personal property",23,Tidewater,2,51001
2023-2024,1,Accomack County,BSO,Behaviors related to School Operations,BSO13,Violation of school board policy regarding the possession or use of portable communication devices,25,Tidewater,2,51001
2023-2024,1,Accomack County,BSO,Behaviors related to School Operations,BSO15,Student is not going to class as assigned,64,Tidewater,2,51001
2023-2024,1,Accomack County,RB,Relationship Behaviors,RB11,Unwanted or inappropriate physical contact,204,Tidewater,2,51001
2023-2024,1,Accomack County,RB,Relationship Behaviors,RB10,Failure to respond to questions or requests by staff,612,Tidewater,2,51001
2023-2024,1,Accomack County,RB,Relationship Behaviors,RB1,Bullying with no physical injury (See Model Policy to Addressing Bullying in Virginia's  Public Schools),35,Tidewater,2,51001
2023-2024,1,Accomack County,RB,Relationship Behaviors,RB2,Cyberbullying (See Model Policy to Addressing Bullying in Virginia's  Public Schools),1,Tidewater,2,51001
2023-2024,1,Accomack County,RB,Relationship Behaviors,RB3,"Posting, distributing, displaying, or sharing inappropriate material or literature, including using electronics means",11,Tidewater,2,51001
2023-2024,1,Accomack County,RB,Relationship Behaviors,RB9,"Using slurs based upon the actual or perceived race, ethnicity, color, national origin, citizenship/immigration status, weight, gender, gender identity, gender expression, sexual orientation, or disability",29,Tidewater,2,51001
2023-2024,1,Accomack County,RB,Relationship Behaviors,RB5,Stealing money or property without physical force,13,Tidewater,2,51001
2023-2024,1,Accomack County,RB,Relationship Behaviors,RB6,"Speaking to another in an uncivil, discourteous manner",134,Tidewater,2,51001
2023-2024,1,Accomack County,RB,Relationship Behaviors,RB7,"Teasing, taunting, engaging in a verbal confrontation, verbally inciting a fight",55,Tidewater,2,51001
2023-2024,1,Accomack County,RB,Relationship Behaviors,RB8,"Using profane or vulgar language or gestures (swearing, cursing, hate speech, gang signs or gestures)",196,Tidewater,2,51001
