school_year,division_number,position_description,number_of_positions_by_fte,number_of_unfilled_positions_by_fte,percent_unfilled,locality_grouping,sch_id,region_name,region_number,division_name,school_name
2021-2022,001,School Counselor - Secondary,3,1,33.3,school,0010070,Tidewater,2,Accomack County,Nandua High
2021-2022,001,School Counselor - Elementary,1,0,0,school,0010080,Tidewater,2,Accomack County,Chincoteague Elementary
2021-2022,001,School Counselor - Secondary,3,0,0,school,0010540,Tidewater,2,Accomack County,Arcadia High
2021-2022,001,School Counselor - Secondary,1,0,0,school,0010580,Tidewater,2,Accomack County,Chincoteague High
2021-2022,001,School Counselor - Elementary,1,0,0,school,0010590,Tidewater,2,Accomack County,Pungoteague Elementary
2021-2022,001,School Counselor - Elementary,1,0.5,50,school,0010600,Tidewater,2,Accomack County,Kegotank Elementary
2021-2022,001,School Counselor - Elementary,1.5,0.5,33.3,school,0010701,Tidewater,2,Accomack County,Accawmacke Elementary
2021-2022,001,School Counselor - Elementary,1,0,0,school,0010702,Tidewater,2,Accomack County,Metompkin Elementary
2021-2022,001,School Counselor - Middle,1,0,0,school,0010703,Tidewater,2,Accomack County,Nandua Middle
2021-2022,001,School Counselor - Middle,1,1,100,school,0010704,Tidewater,2,Accomack County,Arcadia Middle
2021-2022,001,School Counselor - Elementary,5.83,1,17.2,division,NA,Tidewater,2,Accomack County,NA
2021-2022,001,School Counselor - Middle,2.33,1,42.9,division,NA,Tidewater,2,Accomack County,NA
2021-2022,001,School Counselor - Secondary,7.33,1,13.6,division,NA,Tidewater,2,Accomack County,NA
2021-2022,002,School Counselor - Elementary,1,0,0,school,0020010,Valley,5,Albemarle County,Hollymead Elementary
2021-2022,002,School Counselor - Middle,2,0,0,school,0020020,Valley,5,Albemarle County,Leslie H. Walton Middle
2021-2022,002,School Counselor - Elementary,1,0,0,school,0020030,Valley,5,Albemarle County,Scottsville Elementary
2021-2022,002,School Counselor - Elementary,2,0,0,school,0020040,Valley,5,Albemarle County,Mary Carr Greer Elementary
2021-2022,002,School Counselor - Middle,2.5,0,0,school,0020069,Valley,5,Albemarle County,Jackson P. Burley Middle
2021-2022,002,School Counselor - Elementary,1,0,0,school,0020100,Valley,5,Albemarle County,Broadus Wood Elementary
2021-2022,002,School Counselor - Elementary,1,0,0,school,0020140,Valley,5,Albemarle County,Western Albemarle High
2021-2022,002,School Counselor - Secondary,4,0,0,school,0020140,Valley,5,Albemarle County,Western Albemarle High
2021-2022,002,School Counselor - Elementary,2,0,0,school,0020150,Valley,5,Albemarle County,Mountain View Elementary
2021-2022,002,School Counselor - Elementary,2,0,0,school,0020160,Valley,5,Albemarle County,Agnor Elementary
2021-2022,002,School Counselor - Elementary,1,0,0,school,0020240,Valley,5,Albemarle County,Stony Point Elementary
