school_year,n_bullying_incidents,total_enrolled,bully_rate_per_1k,locality_grouping,region_number,division_name,school_name,n_students_surveyed,pct_no_particpate,pct_no_adult,pct_offered_drugs,pct_bullied,pct_bullied_others,pct_cyberbully,pct_cyberbully_others,pct_sexual_comment,pct_sad_activity,pct_sad_adult,pct_consider_sui,pct_asked_help,pct_plan_sui,avg_sui_attempts,pct_tell_adult,pct_mental_health_training,avg_peer_relationships,avg_adult_relationships,avg_worry_violence,avg_bully_prob,avg_envi,division_number,sch_id,region_name,total_positions,vacancies,pct_vacant,filled_positions,staff_per_1k_students,ft_count,pt_count,n_disadv_students,school_number,pct_disadv
2021-2022,2875,1251970,2.2963809036957756,state,NA,NA,NA,219435,15.6,5,12.7,12.3,3.7,21.9,5.6,27.1,39.9,43.6,12.8,39.1,56.3,1.1,75.1,22.9,4.2,4.5,2.5,3.2,3.8,NA,NA,NA,9598.07,511.89000000000004,5.333259707420346,9086.18,7.257506170275645,1250198,1772,513037,NA,40.978378076151984
2022-2023,3523,1263367,2.7885800404791325,state,NA,NA,NA,183837,19.3,6.3,8.1,25.5,5.5,29,7.8,32.6,33.4,40.5,11,35.6,57.9,2,76.5,14.5,4.3,4.6,2.7,3.4,3.7,NA,NA,NA,9318.24,409.39,4.393426226411854,8908.85,7.051672237758308,1261697,1670,556646,NA,44.06051448233173
2023-2024,3295,1262011,2.61091226621638,state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9855.2,549.78,5.578577806640149,9305.42,7.373485651075941,1260127,1884,548381,NA,43.45294930075887
2021-2022,595,260234,2.2864037750639805,region,2,NA,NA,36373,16.5,5,12.7,11.8,3.8,21.9,5.6,28,43.6,39.4,14.5,36.1,56.9,1.2,71.5,18.2,4,4.5,2.8,3.3,3.6,NA,NA,Tidewater,26362.650000000012,2051.999999999999,7.783739495081102,24310.650000000012,93.41842341892303,259408,826,115948,NA,44.55528485901151
2021-2022,253,98010,2.581369248035915,region,5,NA,NA,19531,16.2,4.7,14,14.9,4.1,25.2,5.9,30.6,42.3,44.4,13.6,39.4,56.9,1.1,74.6,17.7,4.2,4.5,2.6,3.4,3.7,NA,NA,Valley,14872.399999999998,488.99999999999994,3.2879696619241012,14383.399999999998,146.75441281501887,97901,109,44728,NA,45.63615957555351
2021-2022,750,467157,1.6054559816078964,region,4,NA,NA,79484,14.4,5.1,11,9.3,2.9,17.7,5.1,23.6,35.3,45.8,10.6,40.9,53.4,1,77,27.5,4.4,4.6,2.4,3,4,NA,NA,Northern Virginia,75607.26999999997,4401.160000000001,5.821080433138245,71206.10999999997,152.4243669687064,466259,898,163724,NA,35.04689001770282
2021-2022,236,81945,2.879980474708646,region,6,NA,NA,16756,17.2,4.6,15.9,17.2,5.6,29.6,6.9,31.4,44.5,42.5,15.8,39.7,59.8,1.2,74.1,19.9,4.1,4.5,2.6,3.5,3.6,NA,NA,Western Virginia,8225.139999999994,427,5.1914009974298345,7798.139999999994,95.16309719934095,81914,31,35457,NA,43.26926597107816
2021-2022,106,26653,3.977038232093948,region,8,NA,NA,5466,17.3,6.1,13.7,18.3,5,27.7,7.1,29.8,43.7,37.5,15.5,36.2,61.6,1.3,72,15.5,3.9,4.3,2.9,3.7,3.2,NA,NA,Southside,2235.36,60,2.6841314150740816,2175.36,81.61782913743295,26643,10,13609,NA,51.05991820808165
2021-2022,251,60551,4.145265974137503,region,7,NA,NA,11596,18.9,4.1,17,21.6,5.2,33,5.8,32.8,44.5,46.1,14.5,39.1,59.4,1.2,78.7,18,4.2,4.6,2.5,3.5,3.7,NA,NA,Southwest,6471.780000000009,190,2.9358229111619947,6281.780000000009,103.74362107975111,60538,13,32748,NA,54.08333470958365
2021-2022,236,84501,2.7928663566111642,region,3,NA,NA,18637,16.6,5.9,15,14.1,4.3,25.3,6.1,32.2,44.5,41.3,14.3,35.5,57.5,1.1,73.5,21.8,4.1,4.4,2.7,3.3,3.6,NA,NA,Northern Neck,7233.5,255,3.525264394829612,6978.5,82.58482148140259,84453,48,32633,NA,38.618477887835645
2021-2022,432,184241,2.3447549676782042,region,1,NA,NA,28147,14.6,5.4,12.2,11.2,3.4,20.5,6,26.2,38.3,43.6,12,41.4,55.5,1.2,75.2,23.9,4.2,4.5,2.7,3.2,3.7,NA,NA,Central Virginia,23665.50000000001,877.5,3.707929264118652,22788.00000000001,123.68582454502533,184170,71,78190,NA,42.438979380268236
